,kind,name,url,releaseDate,artistName,id
103,podcast,Oprah’s Master Class: The Podcast,https://podcasts.apple.com/us/podcast/oprahs-master-class-the-podcast/id1401057414,2019-05-30,Oprah,1401057414
104,podcast,Atlanta Monster,https://podcasts.apple.com/us/podcast/atlanta-monster/id1324249769,2019-08-01,iHeartRadio & Tenderfoot TV,1324249769
105,podcast,The Tony Robbins Podcast,https://podcasts.apple.com/us/podcast/the-tony-robbins-podcast/id1098413063,2019-09-02,Tony Robbins,1098413063
106,podcast,Monday Morning Podcast,https://podcasts.apple.com/us/podcast/monday-morning-podcast/id480486345,2019-09-05,Bill Burr,480486345
107,podcast,99% Invisible,https://podcasts.apple.com/us/podcast/99-invisible/id394775318,2019-09-04,Roman Mars,394775318
108,podcast,Business Wars,https://podcasts.apple.com/us/podcast/business-wars/id1335814741,2019-09-04,Wondery,1335814741
109,podcast,Unsolved Murders: True Crime Stories,https://podcasts.apple.com/us/podcast/unsolved-murders-true-crime-stories/id1122804248,2019-09-04,Parcast Network,1122804248
110,podcast,This Past Weekend w/ Theo Von,https://podcasts.apple.com/us/podcast/this-past-weekend-w-theo-von/id1190981360,2019-09-05,Theo Von,1190981360
111,podcast,The NPR Politics Podcast,https://podcasts.apple.com/us/podcast/the-npr-politics-podcast/id1057255460,2019-09-05,NPR,1057255460
112,podcast,Elevation with Steven Furtick,https://podcasts.apple.com/us/podcast/elevation-with-steven-furtick/id216015753,2019-09-01,Elevation Church,216015753
113,podcast,Congratulations with Chris D'Elia,https://podcasts.apple.com/us/podcast/congratulations-with-chris-delia/id1201940175,2019-09-02,Chris D'Elia,1201940175
114,podcast,The School of Greatness,https://podcasts.apple.com/us/podcast/the-school-of-greatness/id596047499,2019-09-06,Lewis Howes,596047499
115,podcast,The Breakfast Club,https://podcasts.apple.com/us/podcast/the-breakfast-club/id1232428553,2019-09-05,iHeartRadio,1232428553
116,podcast,Coffee Convos with Kail Lowry & Lindsie Chrisley,https://podcasts.apple.com/us/podcast/coffee-convos-with-kail-lowry-lindsie-chrisley/id1305546061,2019-09-05,Wave Podcast Network,1305546061
117,podcast,BiggerPockets Real Estate Podcast,https://podcasts.apple.com/us/podcast/biggerpockets-real-estate-podcast/id594419649,2019-09-05,Bigger Pockets,594419649
118,podcast,Jocko Podcast,https://podcasts.apple.com/us/podcast/jocko-podcast/id1070322219,2019-09-04,Jocko DEFCOR Network,1070322219
119,podcast,True Crime Obsessed,https://podcasts.apple.com/us/podcast/true-crime-obsessed/id1232009882,2019-09-05,True Crime Obsessed,1232009882
120,podcast,The Wild,https://podcasts.apple.com/us/podcast/the-wild/id1455418690,2019-08-20,KUOW,1455418690
121,podcast,RISE Together Podcast,https://podcasts.apple.com/us/podcast/rise-together-podcast/id1407481308,2019-09-05,Rachel Hollis & Dave Hollis,1407481308
122,podcast,Schnitt Talk,https://podcasts.apple.com/us/podcast/schnitt-talk/id1441806992,2019-09-06,Barstool Sports,1441806992
123,podcast,American Hysteria,https://podcasts.apple.com/us/podcast/american-hysteria/id1441348407,2019-09-06,Skylark Media,1441348407
124,podcast,Making Sense with Sam Harris,https://podcasts.apple.com/us/podcast/making-sense-with-sam-harris/id733163012,2019-08-26,Sam Harris,733163012
125,podcast,Skimm This,https://podcasts.apple.com/us/podcast/skimm-this/id1454021155,2019-09-06,"theSkimm, Inc.",1454021155
126,podcast,Blackout,https://podcasts.apple.com/us/podcast/blackout/id1447513097,2019-04-30,Endeavor Audio,1447513097
