,0,1,2,3,4,5,6,7
35,Duolingo,1317493077,2019-09-26,Duolingo Spanish Podcast,podcast,"[{'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1320', 'name': 'Places & Travel', 'url': 'https://itunes.apple.com/us/genre/id1320'}]",https://podcasts.apple.com/us/podcast/duolingo-spanish-podcast/id1317493077,Jamie
36,The Daily Wire,1047335260,2019-10-02,The Ben Shapiro Show,podcast,"[{'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/the-ben-shapiro-show/id1047335260,Jamie
37,Candice King and Kayla Ewell,1434271505,2019-09-30,Directionally Challenged,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}]",https://podcasts.apple.com/us/podcast/directionally-challenged/id1434271505,Jamie
38,Dr. Phil McGraw,1446088262,2019-10-01,Phil in the Blanks,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}]",https://podcasts.apple.com/us/podcast/phil-in-the-blanks/id1446088262,Jamie
39,Rachel Hollis,1245763628,2019-10-01,RISE podcast,podcast,"[{'genreId': '1493', 'name': 'Entrepreneurship', 'url': 'https://itunes.apple.com/us/genre/id1493'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}, {'genreId': '1500', 'name': 'Self-Improvement', 'url': 'https://itunes.apple.com/us/genre/id1500'}]",https://podcasts.apple.com/us/podcast/rise-podcast/id1245763628,Vincent
40,WNYC Studios,1463400941,2019-09-03,Adulting,podcast,"[{'genreId': '1496', 'name': 'Comedy Interviews', 'url': 'https://itunes.apple.com/us/genre/id1496'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1303', 'name': 'Comedy', 'url': 'https://itunes.apple.com/us/genre/id1303'}, {'genreId': '1497', 'name': 'Stand-Up', 'url': 'https://itunes.apple.com/us/genre/id1497'}]",https://podcasts.apple.com/us/podcast/adulting/id1463400941,Vincent
41,Curbed,1462324602,2019-08-15,Nice Try!,podcast,"[{'genreId': '1402', 'name': 'Design', 'url': 'https://itunes.apple.com/us/genre/id1402'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1301', 'name': 'Arts', 'url': 'https://itunes.apple.com/us/genre/id1301'}, {'genreId': '1487', 'name': 'History', 'url': 'https://itunes.apple.com/us/genre/id1487'}]",https://podcasts.apple.com/us/podcast/nice-try/id1462324602,Vincent
42,WTOP/PodcastOne,1461511691,2019-09-13,22 Hours: An American Nightmare,podcast,"[{'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/22-hours-an-american-nightmare/id1461511691,Vincent
43,Team Coco & Earwolf,1438054347,2019-09-30,Conan O’Brien Needs A Friend,podcast,"[{'genreId': '1303', 'name': 'Comedy', 'url': 'https://itunes.apple.com/us/genre/id1303'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/conan-obrien-needs-a-friend/id1438054347,Vincent
44,KSL Podcasts | Wondery,1441595858,2019-03-13,Cold,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1543', 'name': 'Documentary', 'url': 'https://itunes.apple.com/us/genre/id1543'}]",https://podcasts.apple.com/us/podcast/cold/id1441595858,Vincent
